元番号,元ファイル,事故の型,生成タイトル,openai_1,openai_2,google_1,google_2,使用モデル
"1","0001.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"2","0002.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"3","0003.png","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"45","0045.png","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"64","0064.gif","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"91","0091.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"93","0093.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"94","0094.png","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"97","0097.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"100","0100.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"104","0104.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"112","0112.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"114","0114.jpg","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"137","0137.webp","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
"138","0138.png","墜落・転落","展示会場ブース設営中の墜落・転落事故","openai_1.png","openai_2.png","google_1.png","google_2.png","gpt-image-2 / gemini-3-pro-image-preview"
