通し番号,ファイル名,カテゴリ,事故種類,出所URL,md5,説明
0001,0001.jpg,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0448.html,a3f1e7a897c127e7c118dbf401f5d83a,"トラック荷台での作業を終えて降りる際、テールゲートリフター(昇降機)から転落しそうになった"
0002,0002.gif,TGL,はさまれ・巻き込まれ,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0373.html,a505ab0881f9dfa8cc01fdc34fdf6c36,"テールゲートリフター操作中、足の指先を車両とゲートの間に挟みそうになった"
0003,0003.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0316.html,e4ee1755fc44db027a5ec945c5776875,"大型トラックのパワーゲートから荷役作業中に落ちそうになった"
0004,0004.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0333.html,1975d8ac88daa34b7a8e1b4ac7e12fe9,"トラックに荷物を積込み作業中、荷台から転落しそうになった"
0005,0005.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0298.html,3c994e79765ef3ac84d6e768e7371239,"小型トラック荷台上でシート掛け作業中に足を踏みはずしそうになった"
0006,0006.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0071.html,85a5921be2759907efdbc2c083dcab4e,"トラックから荷卸し中、積み荷の揺らぎでバランスを崩して転落しそうになった"
0007,0007.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0026.html,6339d274e77e508a918e642c2d2b8a46,"砂利積込み作業中、車の荷台から転落しそうになった"
0008,0008.gif,TGL,転倒,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0376.html,619de2677d6346eac57c240f46aea3bd,"トラック荷台上で鋼材に掛けたシートを剥がす作業中、雨で濡れた鋼材で足が滑り転倒しそうになった"
0009,0009.gif,TGL,転倒,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0336.html,722e27c16dec9c6888a3909a4d60b9a6,"トラックの後あおりから飛び降りた際、車止めブロックにつまずき転倒しそうになった"
0010,0010.jpg,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0198.html,ba9662d8524cf041d7e9a7ab3abe6267,"トラック荷卸し作業中に荷卸し台から転落した"
0011,0011.gif,TGL,激突,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0311.html,465e381dd47e0a7a29b280b9171c4932,"トラック後部のアオリを開いたとき、体にアオリが当たりそうになった"
0012,0012.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0309.html,211b6ef22ac5f6e793e857ebd99c090c,"大型鋼板コイルを積んで動きだしたとき、トラックの荷台から転落しそうになった"
0013,0013.gif,TGL,はさまれ・巻き込まれ,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0430.html,5b7de7c4c6b664d25b9e3b054647d73d,"トラックの積荷を降ろす際、傾斜で逸走してきたトラックと停車場の間にはさまれそうになった"
0014,0014.gif,TGL,はさまれ・巻き込まれ,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0414.html,59bfe592e082f63866e7c10c46885d24,"サスペンションを上げた状態のトラックの下で作業中、車両電源が入りサスペンションと床面に挟まれかけた"
0015,0015.gif,TGL,はさまれ・巻き込まれ,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0132.html,a206f018a5bc71f62b11c3fc8cbf1edd,"トラックの誘導中に電信柱とトラックの間にはさまれそうになった(荷役・構内)"
0016,0016.gif,TGL,飛来・落下,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0432.html,43b78542c98db9a267be4b5f2edb8368,"荷卸し中、ウイングを上げ忘れロールボックスパレットがトラック荷台から落下しそうになった"
0017,0017.gif,TGL,下敷き,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0428.html,5201b40dfeff6f29bd2f1913dea5e72f,"雑誌を積んだ台車をトラック荷台から昇降装置に移動中、台車が落下して下敷きになりそうになった"
0018,0018.gif,TGL,飛来・落下,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0045.html,8563f1af842e200d71b78e9aaf1c6884,"トラックの荷台から台車が落ち、足に当たりそうになった"
0019,0019.gif,TGL,転倒,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0393.html,e6280f020d64ac7bbdb24e4387a77787,"荷卸し中、トラック荷台のカーゴ台車が別の台車にぶつかって倒れ、支えていた作業員が転倒しそうになった"
0020,0020.jpg,TGL,墜落・転落,https://www.tokubetu.or.jp/2662,319eac0c984d338ca66ffa8bef5d6e66,"KYT教材 移動（トラック）:コンクリート側溝に蓋を掛ける作業をしながらトラックを移動させており荷台上作業者の転落等の危険"
0021,0021.jpg,TGL,飛来・落下,https://www.tokubetu.or.jp/2298,39ec8451ccea7ba167f3a64ea738f288,"KYT教材 荷降ろし（トラッククレーン）:車両積載型トラッククレーンの荷台から鋼板を荷降ろし中の危険"
0022,0022.jpg,TGL,飛来・落下,https://www.tokubetu.or.jp/kyt/unyu,f011225e502f2de14c0fe87e18dcd70f,"KYT教材 荷降ろし（矢板）:矢板の荷下ろしで玉掛用ワイヤーロープをフックから外そうとする際の危険"
0023,0023.jpg,TGL,その他,https://www.tokubetu.or.jp/kyt/unyu,ee079304f9b8829a60c5dff3e9b0cd6d,"KYT教材 積込み（ドラグ・ショベル）:ドラグ・ショベルをトラックに積み込む際の危険"
0024,0024.jpg,TGL,飛来・落下,https://www.tokubetu.or.jp/kyt/unyu,79ea1395900c5dc3b69d1514fe902b0c,"KYT教材 積込み（大型ブロック）:大型ブロックを車両積載形トラッククレーンの荷台に積み込む際の危険"
0025,0025.gif,TGL,飛来・落下,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0038.html,1a2f86dd2aa5bcaa702028346baa8e45,積込み中の古紙の束が落下して顔に当たりそうになった
0026,0026.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0090.html,d220363637e0575583b86635fbc7240a,バルク車のタンク上でバランスを崩し、転落しそうになった
0027,0027.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0092.html,311c0cd775f926e89bf61959dbf421d8,運転席の上の荷台から足を滑らせ、転落しそうになった
0028,0028.gif,TGL,崩壊・倒壊,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0148.html,a30acea3ea7e3138c81f7cfb0bff168a,パレットで荷を積み込み作業中、荷崩れを起こした
0029,0029.gif,TGL,はさまれ・巻き込まれ,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0164.html,0bb8aedcbd21e7bb83fc73fc47ee61ca,ごみ収集車の車両点検中、テールゲートが急に下降した
0030,0030.gif,TGL,激突され,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0176.html,feefba6d633f359478ddd2669309aaf5,ダンプがバック中、誘導者が転倒したので慌てて止めた
