元番号,元ファイル,元の事故の型,設定した原因シナリオ,生成タイトル,google_1,google_2
"1","0001.jpg","墜落・転落","高所作業車(シザースリフト)を上昇させたまま走行させ、組みかけブースのアルミトラスに激突。衝撃で手すり際の作業員がバランスを崩し手すりを越えて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"2","0002.jpg","墜落・転落","高い看板パネルを取付けようとシザースリフトの手すりに片足を掛けて乗り上がり、身を大きく乗り出した不安全姿勢からバランスを崩して手すりを越え転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"3","0003.png","墜落・転落","シザースリフト乗降口の安全チェーン(開閉バー)を掛け忘れたまま高所作業し、開いた乗降口の側へ後退りして、ガードのない開口部からそのまま転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"45","0045.png","墜落・転落","作業床から組みかけブースのトラスへ直接乗り移ろうとして、シザースリフトと未固定のトラスの間で足を踏み外し、フルハーネスのフックを未接続のまま機体とブースの隙間へ転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"64","0064.gif","墜落・転落","シザースリフトの作業床から離れた高い看板パネル/トラス上部に手を届かせようと、手すりの外へ上半身を大きく乗り出して無理に背伸び。重心が手すりの外側へ出てバランスを崩し、頭から手すりを越えて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"91","0091.jpg","墜落・転落","作業床の高さでは届かないブース最上部のトラス/看板に手を伸ばすため、シザースリフトの作業床の上に脚立(または裏返した運搬用コンテナ)を載せて、その上に立って更にかさ上げ。不安定な踏み台がぐらついて重心が崩れ、手すりを越えて頭から転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1b.png","google_2.png"
"93","0093.jpg","墜落・転落","シザースリフトの作業床から、大判で重い看板パネル(展示什器)を一人で抱え上げ、手すり越しに高い位置へ取り付けようとした。重い荷の重量とぶれで重心が手すりの外側へ引っ張られ、パネルごと手すりを越えて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"94","0094.png","墜落・転落","シザースリフトの延長デッキ(スライド式の張り出し床)を伸ばしたまま固定ロックを掛け忘れ、その延長部分に乗って看板へ近づこうとしたところ、未ロックのスライドデッキがずれて開いた隙間/外れた床から、作業員が手すりの外側へ踏み外して転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"97","0097.jpg","墜落・転落","シザースリフトのキャスター(車輪)ブレーキを掛けないまま上昇させて作業。作業員が看板パネルを取付けようとブースのアルミトラスを手前へ強く引き寄せた反動で、ブレーキ未固定の機体が床の上を不意に後方へ動き出し(ずれて)、その急な揺れで手すり際の作業員がバランスを崩し、手すりを越えて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"100","0100.jpg","墜落・転落","組み立て途中でまだブレース固定していない背の高いブース壁パネル(自立看板)に、シザースリフトの作業床から体重をかけて寄りかかり／手で押さえながら高所作業。支えのない壁パネルが外側へ倒れ、寄りかかっていた作業員が一緒に引かれて手すりを越えて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"104","0104.jpg","墜落・転落","長いトラス材／大型看板パネルを作業床へ受け渡すため、シザースリフトの側面ガードレール(中桟)の一部を倒した／取り外したまま再固定せずに高所作業。手すりが無くなった開いた側へ作業員が後ずさり、ガードのない側面の開口部からそのまま外へ転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1b.png","google_2.png"
"112","0112.jpg","墜落・転落","作業を終え、上昇したシザースリフトをいちいち下降させる手間を惜しんで、手すりを乗り越え、機体のシザース機構(X字フレーム)に足を掛けて外側からよじ降りて高所のまま降りようとした。手すりにまたがった不安定な体勢で足を滑らせ、リフトの外側を伝う途中で手が離れて床まで転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2b.png"
"114","0114.jpg","墜落・転落","フルハーネスを着用してはいたが、命綱(ランヤード)のフックをアンカー(手すり/親綱)へ接続しないまま高所作業。手すり際で看板取付け中に体勢を崩して手すりを越えたが、未接続のフックが宙ぶらりんで落下を止められず、そのまま床まで転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"137","0137.webp","墜落・転落","シザースリフトの作業床の上に、工具・電動ドライバー・とぐろを巻いた延長コード・看板パネルの端材などを片付けずに散乱させたまま高所作業。手元の看板取付けに気を取られた作業員が後ずさりした際、足元に転がる工具や延長コードに足を取られてつまずき、その勢いのまま手すりを越えて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2b.png"
"138","0138.png","墜落・転落","シザースリフトの作業床に、こぼした塗料／開いたペンキ缶やペットボトルの水がたまった濡れて滑りやすい床面を放置したまま高所作業。看板パネルの取付けで踏ん張った瞬間に濡れた床で足が前へ滑り、踏ん張りが利かないまま体が流れて手すりの下／外へ滑り落ちて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"196","0196.webp","墜落・転落","作業床の高さでは届かないブース最上部の看板/トラスに手を届かせようと、シザースリフトの上部手すりの最上段に両足で立ち上がり（手すりの上に登って足場代わりにする）、不安定な体勢で背伸びした瞬間にバランスを崩し、手すりの外側へ落下して転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1b.png","google_2b.png"
